id	label	description	url	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
1	rappuoli r. (2000)	"<table><tr><td>Authors:</td><td>rappuoli r.</td></tr><tr><td>Title:</td><td>reverse vaccinology</td></tr><tr><td>Source:</td><td>current opinion in microbiology, 3(5), 445-450</td></tr><tr><td>Year:</td><td>2000</td></tr></table>"	https://doi.org/10.1016/s1369-5274(00)00119-3	0.927	-0.0204	2	184	253	432	1	2000	432	1
2	suker j. (2001)	"<table><tr><td>Authors:</td><td>suker j.; feavers i.m.</td></tr><tr><td>Title:</td><td>prospects offered by genome studies for combating meningococcal disease by vaccination</td></tr><tr><td>Source:</td><td>pharmacogenomics, 2(3), 273-283</td></tr><tr><td>Year:</td><td>2001</td></tr></table>"	https://doi.org/10.1517/14622416.2.3.273	1.2025	0.0065	2	269	584	5	1	2001	5	1
3	telford j.l. (2002)	"<table><tr><td>Authors:</td><td>telford j.l.; pizza m.; grandi g.; rappuoli r.</td></tr><tr><td>Title:</td><td>reverse vaccinology: from genome to vaccine</td></tr><tr><td>Source:</td><td>methods in microbiology, 33, 257-270</td></tr><tr><td>Year:</td><td>2002</td></tr></table>"	https://doi.org/10.1016/s0580-9517(02)33015-0	1.194	-0.0919	2	183	286	1	0.0482	2002	1	0.0482
5	pizza m. (2002)	"<table><tr><td>Authors:</td><td>pizza m.; grandi g.; telford j.l.; rappuoli r.</td></tr><tr><td>Title:</td><td>reverse vaccinology: a genome-based approach to vaccine development</td></tr><tr><td>Source:</td><td>chimica oggi, 20(7-8), 32-36</td></tr><tr><td>Year:</td><td>2002</td></tr></table>"		1.2628	-0.0485	2	192	338	1	0.0482	2002	1	0.0482
6	masignani v. (2002)	"<table><tr><td>Authors:</td><td>masignani v.; rappuoli r.; pizza m.</td></tr><tr><td>Title:</td><td>reverse vaccinology: a genome-based approach for vaccine development</td></tr><tr><td>Source:</td><td>expert opinion on biological therapy, 2(8), 895-905</td></tr><tr><td>Year:</td><td>2002</td></tr></table>"	https://doi.org/10.1517/14712598.2.8.895	1.0986	0.0276	2	283	744	51	2.4578	2002	51	2.4578
7	mora m. (2003)	"<table><tr><td>Authors:</td><td>mora m.; veggi d.; santini l.; pizza m.; rappuoli r.</td></tr><tr><td>Title:</td><td>reverse vaccinology</td></tr><tr><td>Source:</td><td>drug discovery today, 8(10), 459-464</td></tr><tr><td>Year:</td><td>2003</td></tr></table>"	https://doi.org/10.1016/s1359-6446(03)02689-8	0.831	0.0156	2	302	704	79	1.7955	2003	79	1.7955
8	sampson s.l. (2003)	"<table><tr><td>Authors:</td><td>sampson s.l.; rengarajan j.; rubin e.j.</td></tr><tr><td>Title:</td><td>bacterial genomics and vaccine design</td></tr><tr><td>Source:</td><td>expert review of vaccines, 2(3), 437-445</td></tr><tr><td>Year:</td><td>2003</td></tr></table>"	https://doi.org/10.1586/14760584.2.3.437	0.8619	-0.1412	2	199	329	5	0.1136	2003	5	0.1136
9	titball r.w. (2003)	"<table><tr><td>Authors:</td><td>titball r.w.; williamson e.d.</td></tr><tr><td>Title:</td><td>vaccine development for potential bioterrorism agents</td></tr><tr><td>Source:</td><td>current drug targets - infectious disorders, 3(3), 255-262</td></tr><tr><td>Year:</td><td>2003</td></tr></table>"	https://doi.org/10.2174/1568005033481097	0.5884	0.1565	4	189	328	5	0.1136	2003	5	0.1136
10	rappuoli r. (2003)	"<table><tr><td>Authors:</td><td>rappuoli r.; covacci a.</td></tr><tr><td>Title:</td><td>reverse vaccinology and genomics</td></tr><tr><td>Source:</td><td>science, 302(5645), 602</td></tr><tr><td>Year:</td><td>2003</td></tr></table>"	https://doi.org/10.1126/science.1092329	0.9454	0.1048	2	243	389	87	1.9773	2003	87	1.9773
11	capecchi b. (2004)	"<table><tr><td>Authors:</td><td>capecchi b.; serruto d.; adu-bobie j.; rappuoli r.; pizza m.</td></tr><tr><td>Title:</td><td>the genome revolution in vaccine research</td></tr><tr><td>Source:</td><td>current issues in molecular biology, 6(1), 17-28</td></tr><tr><td>Year:</td><td>2004</td></tr></table>"		0.992	-0.028	2	271	740	56	1.6	2004	56	1.6
13	danzig l. (2004)	"<table><tr><td>Authors:</td><td>danzig l.</td></tr><tr><td>Title:</td><td>meningococcal vaccines</td></tr><tr><td>Source:</td><td>pediatric infectious disease journal, 23(12 suppl.), s285-s292</td></tr><tr><td>Year:</td><td>2004</td></tr></table>"	https://doi.org/10.1097/01.inf.0000147654.03890.b9	1.3971	-0.0462	2	221	516	43	1.2286	2004	43	1.2286
14	kelly d.f. (2005)	"<table><tr><td>Authors:</td><td>kelly d.f.; rappuoli r.</td></tr><tr><td>Title:</td><td>reverse vaccinology and vaccines for serogroup b neisseria meningitidis</td></tr><tr><td>Source:</td><td>advances in experimental medicine and biology, 568, 217-223</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"	https://doi.org/10.1007/0-387-25342-4_15	1.1345	-0.1706	2	206	468	34	0.85	2005	34	0.85
