id	label	description	url	x	y	cluster	weight<Links>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
1	rappuoli r. (2000)	"<table><tr><td>Authors:</td><td>rappuoli r.</td></tr><tr><td>Title:</td><td>reverse vaccinology</td></tr><tr><td>Source:</td><td>current opinion in microbiology, 3(5), 445-450</td></tr><tr><td>Year:</td><td>2000</td></tr></table>"	https://doi.org/10.1016/s1369-5274(00)00119-3	-0.2432	0.1438	29	136	432	1	2000	432	1
2	suker j. (2001)	"<table><tr><td>Authors:</td><td>suker j.; feavers i.m.</td></tr><tr><td>Title:</td><td>prospects offered by genome studies for combating meningococcal disease by vaccination</td></tr><tr><td>Source:</td><td>pharmacogenomics, 2(3), 273-283</td></tr><tr><td>Year:</td><td>2001</td></tr></table>"	https://doi.org/10.1517/14622416.2.3.273	-0.6031	0.8353	29	1	5	1	2001	5	1
4	nilsson c.l. (2002)	"<table><tr><td>Authors:</td><td>nilsson c.l.</td></tr><tr><td>Title:</td><td>bacterial proteomics and vaccine development.</td></tr><tr><td>Source:</td><td>american journal of pharmacogenomics : genomics-related research in drug development and clinical practice, 2(1), 59-65</td></tr><tr><td>Year:</td><td>2002</td></tr></table>"	https://doi.org/10.2165/00129785-200202010-00005	0.6765	-0.554	19	1	30	1.4458	2002	30	1.4458
5	pizza m. (2002)	"<table><tr><td>Authors:</td><td>pizza m.; grandi g.; telford j.l.; rappuoli r.</td></tr><tr><td>Title:</td><td>reverse vaccinology: a genome-based approach to vaccine development</td></tr><tr><td>Source:</td><td>chimica oggi, 20(7-8), 32-36</td></tr><tr><td>Year:</td><td>2002</td></tr></table>"		0.6437	0.9566	1	1	1	0.0482	2002	1	0.0482
6	masignani v. (2002)	"<table><tr><td>Authors:</td><td>masignani v.; rappuoli r.; pizza m.</td></tr><tr><td>Title:</td><td>reverse vaccinology: a genome-based approach for vaccine development</td></tr><tr><td>Source:</td><td>expert opinion on biological therapy, 2(8), 895-905</td></tr><tr><td>Year:</td><td>2002</td></tr></table>"	https://doi.org/10.1517/14712598.2.8.895	-0.9304	-0.5841	15	8	51	2.4578	2002	51	2.4578
7	mora m. (2003)	"<table><tr><td>Authors:</td><td>mora m.; veggi d.; santini l.; pizza m.; rappuoli r.</td></tr><tr><td>Title:</td><td>reverse vaccinology</td></tr><tr><td>Source:</td><td>drug discovery today, 8(10), 459-464</td></tr><tr><td>Year:</td><td>2003</td></tr></table>"	https://doi.org/10.1016/s1359-6446(03)02689-8	0.4887	-0.222	19	23	79	1.7955	2003	79	1.7955
9	titball r.w. (2003)	"<table><tr><td>Authors:</td><td>titball r.w.; williamson e.d.</td></tr><tr><td>Title:</td><td>vaccine development for potential bioterrorism agents</td></tr><tr><td>Source:</td><td>current drug targets - infectious disorders, 3(3), 255-262</td></tr><tr><td>Year:</td><td>2003</td></tr></table>"	https://doi.org/10.2174/1568005033481097	-0.9776	-0.5802	15	2	5	0.1136	2003	5	0.1136
10	rappuoli r. (2003)	"<table><tr><td>Authors:</td><td>rappuoli r.; covacci a.</td></tr><tr><td>Title:</td><td>reverse vaccinology and genomics</td></tr><tr><td>Source:</td><td>science, 302(5645), 602</td></tr><tr><td>Year:</td><td>2003</td></tr></table>"	https://doi.org/10.1126/science.1092329	0.1894	-0.1785	19	11	87	1.9773	2003	87	1.9773
11	capecchi b. (2004)	"<table><tr><td>Authors:</td><td>capecchi b.; serruto d.; adu-bobie j.; rappuoli r.; pizza m.</td></tr><tr><td>Title:</td><td>the genome revolution in vaccine research</td></tr><tr><td>Source:</td><td>current issues in molecular biology, 6(1), 17-28</td></tr><tr><td>Year:</td><td>2004</td></tr></table>"		-0.1125	0.0994	1	16	56	1.6	2004	56	1.6
13	danzig l. (2004)	"<table><tr><td>Authors:</td><td>danzig l.</td></tr><tr><td>Title:</td><td>meningococcal vaccines</td></tr><tr><td>Source:</td><td>pediatric infectious disease journal, 23(12 suppl.), s285-s292</td></tr><tr><td>Year:</td><td>2004</td></tr></table>"	https://doi.org/10.1097/01.inf.0000147654.03890.b9	-0.8226	0.5482	10	2	43	1.2286	2004	43	1.2286
14	kelly d.f. (2005)	"<table><tr><td>Authors:</td><td>kelly d.f.; rappuoli r.</td></tr><tr><td>Title:</td><td>reverse vaccinology and vaccines for serogroup b neisseria meningitidis</td></tr><tr><td>Source:</td><td>advances in experimental medicine and biology, 568, 217-223</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"	https://doi.org/10.1007/0-387-25342-4_15	-0.4111	0.3984	10	7	34	0.85	2005	34	0.85
15	wack a. (2005)	"<table><tr><td>Authors:</td><td>wack a.; rappuoli r.</td></tr><tr><td>Title:</td><td>vaccinology at the beginning of the 21st century</td></tr><tr><td>Source:</td><td>current opinion in immunology, 17(4 spec. iss.), 411-418</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"	https://doi.org/10.1016/j.coi.2005.05.005	0.2028	-0.3619	19	2	70	1.75	2005	70	1.75
16	plotkin s.a. (2005)	"<table><tr><td>Authors:</td><td>plotkin s.a.</td></tr><tr><td>Title:</td><td>six revolutions in vaccinology</td></tr><tr><td>Source:</td><td>pediatric infectious disease journal, 24(1), 1-9</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"	https://doi.org/10.1097/01.inf.0000148933.08301.02	-0.1815	-0.1497	15	2	39	0.975	2005	39	0.975
17	de la fuente j. (2005)	"<table><tr><td>Authors:</td><td>de la fuente j.; almazán c.; blouin e.f.; naranjo v.; kocan k.m.</td></tr><tr><td>Title:</td><td>rna interference screening in ticks for identification of protective antigens</td></tr><tr><td>Source:</td><td>parasitology research, 96(3), 137-141</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"	https://doi.org/10.1007/s00436-005-1351-5	-0.6112	-0.8021	27	5	69	1.725	2005	69	1.725
