id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
4	a. baumannii	0.3434	0.2922	7	7	9	5	2018.8	15.4	1.1656
8	acinetobacter baumannii	-0.6467	-0.2172	1	9	12	9	2018.3333	21.4444	1.2434
15	adjuvants	0.8836	-0.686	3	5	7	6	2015.3333	40.3333	2.1477
38	antibodies	-0.3466	-0.5228	1	7	8	5	2017.6	7	0.4804
48	antigen	-0.1375	-0.3017	1	19	29	20	2016	14.95	0.72
64	antigenicity	-0.0691	-0.1443	2	8	12	8	2017.875	6.625	0.4964
95	b-cell epitope	-0.4653	0.3514	2	9	14	8	2019.375	2.125	0.1653
128	bioinformatics	-0.1166	0.0614	1	26	54	38	2016.6842	13.5263	0.8411
246	core genome	0.5584	0.523	7	3	4	5	2018.8	17	1.1077
248	coronavirus	0.1259	0.8377	8	6	16	5	2020.8	30	12.6331
253	covid-19	-0.1684	0.4977	8	15	42	18	2020.6111	16.7222	5.0641
315	docking	0.3206	-0.217	6	11	16	12	2018.5833	7.4167	0.5803
324	drug targets	-0.9323	-0.2723	1	4	4	5	2020.6	2.2	0.2861
361	epitope	-0.2042	-0.0807	8	16	37	24	2018.875	11.1667	2.8251
367	epitope prediction	0.0501	0.1083	2	10	19	15	2018.1333	10.7333	0.8155
426	genome	1.0419	0.2435	4	6	9	5	2010.4	10	0.4663
434	genomics	0.6969	-0.0812	3	17	44	22	2010.7727	27.4091	0.8325
553	immunogenicity	0.3758	-0.0395	4	12	14	11	2016.2727	12.7273	1.0407
561	immunoinformatics	-0.0456	0.3256	5	25	76	50	2019.38	11.04	2.1954
564	immunology	0.1172	-0.396	6	13	16	7	2016.4286	16.2857	0.8127
577	in silico	-0.3094	0.1169	7	11	12	10	2020	4	0.7234
633	leptospira	-0.7152	0.3932	2	8	11	6	2017.8333	10.8333	0.692
635	leptospirosis	-0.6882	0.5053	2	7	9	7	2017.4286	9.8571	0.5245
657	machine learning	-1.0021	-0.0137	1	4	4	6	2019.1667	16.6667	2.2538
661	malaria	-0.9096	-0.6229	1	5	11	7	2016.5714	11	0.97
683	meningitis	1.1896	-0.0257	4	7	10	6	2009.5	34.3333	0.6417
687	meningococcal disease	1.1345	-0.0995	4	3	3	5	2013.2	13.8	0.4673
725	molecular docking	-0.3636	-0.2591	3	11	15	14	2019.5714	5.3571	0.564
743	multi-epitope vaccine	-0.2467	0.8421	5	10	20	12	2020.0833	7.8333	1.046
768	mycobacterium tuberculosis	-1.1089	-0.2584	1	3	7	7	2019.7143	2.7143	0.3234
790	neisseria meningitidis	1.1947	0.1324	4	12	22	22	2011.9545	33.3182	1.0618
852	outer membrane proteins	1.4406	0.1877	4	1	1	5	2018	8.6	0.5172
860	pan-genome	0.6627	0.471	7	6	8	5	2013	21.6	0.6348
865	pangenome	0.3173	0.5475	7	9	9	6	2017.8333	23.8333	1.1982
893	peptide vaccine	-0.2136	0.159	2	8	9	6	2019.1667	8	0.62
918	plasmodium falciparum	-0.8159	-0.621	1	6	11	6	2017.8333	14.5	0.9927
965	protective antigen	0.0564	-0.9646	6	1	1	5	2013.6	26.2	0.9082
990	proteomics	0.8155	-0.2944	3	14	31	16	2014	19.25	0.7394
1018	recombinant proteins	-0.9814	-0.4082	1	4	4	5	2014.2	15.2	0.6067
1021	recombinant vaccine	-0.6721	0.1244	2	6	6	7	2018.4286	7.1429	0.6989
1063	sars-cov-2	-0.0423	0.6291	8	10	32	14	2020.5714	4.5714	0.7668
1130	staphylococcus aureus	0.4661	-0.614	3	11	17	8	2016.5	7.625	1.2378
1141	streptococcus pneumoniae	0.19	0.4734	5	10	12	8	2016.25	30.875	1.0374
1148	structural vaccinology	-0.3567	0.6949	5	5	5	5	2018.6	9.2	0.8247
1157	subtractive proteomics	-0.1455	-0.5484	3	4	6	11	2019.6364	5.7273	0.6201
1159	subunit vaccine	-0.7496	0.083	2	9	11	16	2016.875	13.3125	0.8934
1179	systems biology	0.7473	-0.6782	3	6	8	5	2014.4	16.4	0.5766
1187	t-cell epitope	-0.4844	0.2547	2	9	12	8	2016	8	0.3803
1234	tuberculosis	-1.0154	-0.1865	1	7	9	7	2018.8571	5.4286	0.2601
1246	vaccination	0.9195	-0.1303	4	6	6	8	2016.125	22.875	0.9566
1247	vaccine	0.0606	-0.0541	1	40	126	106	2016.9811	15.6038	1.5408
1251	vaccine candidate	-0.8116	0.1614	2	5	5	6	2017.8333	13.8333	0.8225
1258	vaccine design	0.0491	-0.6622	6	15	26	13	2016.8462	16.0769	1.4042
1260	vaccine development	0.5267	0.1091	3	7	8	7	2013.8571	27.2857	1.3409
1270	vaccinology	0.4489	-0.2007	3	9	12	7	2018.2857	7.5714	1.343
1271	vaccinomics	0.3029	-0.6091	6	5	5	5	2016.6	18	1.6414
1298	visceral leishmaniasis	-0.2716	1.0839	5	4	6	7	2019.1429	13	0.9987
